name,contact_name,schedule,notes
Acciona Construction,,Wed (wk B),Construction site account
Aimpoint Digital,,Tue (wk A),
Andersen Windows,,Mon (wk B),
Archer Western,,Tue (wk B),
Communities in Schools,,Thu (wk A),
Concord Group,Debbie Heitzman,Tue (wk B),Contact: dheitzman@concord-cc.com
Floyd Medical,Stacey,Wed (wk A),Advocate Health Rome - NE Building
Georgia Tech HR,,Thu (wk A),
Heritage Distribution,,Wed (wk B),
Iris O4W,,Mon (wk A),
Link Logistics,,Tue (wk A) + Wed (wk B),Both rotations
Loria Ansley,,Mon (wk A),
Luna Upper Westside,,Thu (wk A),
Matsuda Eyewear,,Thu (wk A),
Michelin Connected Fleet,,Tue (wk A),
Onco Health,,Tue (wk A),
One Street Residential,,Tue (wk B),
Peach State Pizza,,Wed (wk B),
Perkins and Will,,Mon (wk A),
With Agency,Jamie,Tue (wk A),
